Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Belltown Dome,/en/recreation-and-parks/recreation-facilities/facility-listing/belltown-dome,Public Skating,Saturday March 14,,,8:00 pm - 8:50 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1658196
Sandy Hill Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/sandy-hill-arena,Family Skating,Saturday March 14,,,8:00 pm - 8:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1651646
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Rock wall,Saturday March 14,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423264
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym,Saturday March 14,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423843
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Volleyball,Saturday March 14,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1985196
Bell Centennial Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/bell-centennial-arena,Public Skating,Saturday March 14,,,9:00 pm - 9:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425770
Belltown Dome,/en/recreation-and-parks/recreation-facilities/facility-listing/belltown-dome,Pick-up Hockey - Adults 18+,Saturday March 14,,,9:00 pm - 9:50 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1657991
Sandy Hill Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/sandy-hill-arena,Public Skating,Saturday March 14,,,9:00 pm - 9:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1474216
Sandy Hill Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/sandy-hill-arena,Figure Skating,Saturday March 14,,,10:00 pm - 10:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1474556
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Sunday March 15,,,7:30 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1627641
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Sunday March 15,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1875336
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Indoor Cycling,Sunday March 15,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407915
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Badminton,Sunday March 15,,,8:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2041281
Deborah Anne Kirwan Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/deborah-anne-kirwan-pool,Lane Swim,Sunday March 15,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1979486
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,HIIT (High Intensity Interval Training),Sunday March 15,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1050743
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Sunday March 15,,,8:30 am - 1:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1928196
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Aqua- Turbo,Sunday March 15,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1415850
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,HIIT (High Intensity Interval Training),Sunday March 15,,,8:30 am - 9:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430293
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,TMC,Sunday March 15,,,8:45 am - 9:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1216609
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,TMC,Sunday March 15,,,8:45 am - 9:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1393074
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Badminton (Adult),Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015241
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Badminton,Sunday March 15,,,9:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2038956
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Indoor Cycling,Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1989336
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Pilates,Sunday March 15,,,9:00 am - 10:00 am,One time activity - View details,/en/recreation-and-parks/drop-in-programs/2056216
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Yoga,Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1090803
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Indoor Cycling,Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891171
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,20-20-20,Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1398358
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,TRX®,Sunday March 15,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408451
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Kindergym,Sunday March 15,,,9:00 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423630
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Indoor Cycling,Sunday March 15,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2024676
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Zumba®,Sunday March 15,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1033054
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Sunday March 15,,,9:30 am - 10:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429652
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Yoga,Sunday March 15,,,9:45 am - 10:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419263
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Badminton (Adult),Sunday March 15,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015296
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- Turbo,Sunday March 15,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958231
Routhier Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/routhier-community-centre,Basketball,Sunday March 15,,,10:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1926291
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Sunday March 15,,,10:00 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2025321
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Yoga-Pilates,Sunday March 15,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1600076
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Preschool Swim,Sunday March 15,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998656
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Cardio and Strength,Sunday March 15,,,10:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1181455
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Zumba®,Sunday March 15,,,10:30 am - 11:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429105
Tom Brown Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/tom-brown-arena,Speed Skating,Sunday March 15,,,11:00 am - 11:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1472891
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Badminton (Family),Sunday March 15,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1612881
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Sunday March 15,,,11:00 am - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1848071
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Rock wall,Sunday March 15,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423279
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym (Family),Sunday March 15,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1367171
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Lane Swim,Sunday March 15,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1672461
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Hot tub/Steam room,Sunday March 15,,,11:30 am - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1992576
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Lane Swim,Sunday March 15,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1989966
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Lane Swim,Sunday March 15,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028691
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Lane Swim,Sunday March 15,,,11:30 am - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998081
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Lane Swim,Sunday March 15,,,12:00 pm - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1977781
Tom Brown Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/tom-brown-arena,Public Skating,Sunday March 15,,,12:00 pm - 12:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1473066
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Public Swim,Sunday March 15,,,12:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281346
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Badminton (Family),Sunday March 15,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1612961
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Sunday March 15,,,12:00 pm - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006916
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Sunday March 15,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1627861
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Sunday March 15,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1620736
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Sunday March 15,,,12:00 pm - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018421
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Rock wall,Sunday March 15,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423294
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Open Gym,Sunday March 15,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423858
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Lane Swim,Sunday March 15,,,12:05 pm - 1:10 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1865996
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Skating,Sunday March 15,,,12:30 pm - 2:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428306
Kanata Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-recreation-complex,Public Skating,Sunday March 15,,,12:30 pm - 1:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427602
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Indoor Cycling- Mix It Up,Sunday March 15,,,12:30 pm - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1926831
Fred Barrett Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/fred-barrett-arena,Family Skating,Sunday March 15,,,1:00 pm - 1:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1464976
Howard Darwin Centennial Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/howard-darwin-centennial-arena,Family Skating,Sunday March 15,,,1:00 pm - 1:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427356
Johnny Leroux Stittsville Community Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/johnny-leroux-stittsville-community-arena,Public Skating,Sunday March 15,,,1:00 pm - 1:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427542
Navan Memorial Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/navan-memorial-centre,Public Skating,Sunday March 15,,,1:00 pm - 2:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1465561
Deborah Anne Kirwan Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/deborah-anne-kirwan-pool,Public Swim,Sunday March 15,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1979166
Stuart Holmes Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/stuart-holmes-arena,Public Skating,Sunday March 15,,,1:00 pm - 2:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1594841
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Public Swim,Sunday March 15,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1899406
McNabb Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/mcnabb-recreation-centre,Public Skating,Sunday March 15,,,1:00 pm - 1:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428023
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Sunday March 15,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1991286
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Skating,Sunday March 15,,,1:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1426310
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Family Swim,Sunday March 15,,,1:00 pm - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873776
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Wave Swim,Sunday March 15,,,1:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1619016
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Sunday March 15,,,1:00 pm - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1930481
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Public Swim,Sunday March 15,,,1:00 pm - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028806
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Public Swim,Sunday March 15,,,1:00 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1999091
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Public Swim,Sunday March 15,,,1:00 pm - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1674466
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Family Skating,Sunday March 15,,,1:00 pm - 1:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1593906
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Table Tennis (Youth),Sunday March 15,,,1:00 pm - 3:45 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1938476
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Public Swim,Sunday March 15,,,1:15 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1864731
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Public Swim,Sunday March 15,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1881206
Hintonburg Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre,Badminton,Sunday March 15,,,1:30 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1728116
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Basketball (Family),Sunday March 15,,,1:30 pm - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1613041
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Family Swim,Sunday March 15,,,1:30 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1455181
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Sunday March 15,,,1:30 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2009116
Kanata Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-recreation-complex,Family Skating,Sunday March 15,,,1:30 pm - 2:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427651
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Public Swim,Sunday March 15,,,1:30 pm - 4:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018736
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Pickleball,Sunday March 15,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1980416
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Rock wall,Sunday March 15,,,1:30 pm - 2:30 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419874
Bell Centennial Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/bell-centennial-arena,Family Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425910
Belltown Dome,/en/recreation-and-parks/recreation-facilities/facility-listing/belltown-dome,Family Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1658406
Fred Barrett Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/fred-barrett-arena,Public Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1463666
Howard Darwin Centennial Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/howard-darwin-centennial-arena,Public Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427266
Jack Purcell Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-purcell-community-centre,Lane Swim,Sunday March 15,,,2:00 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1281519
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Family Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1470646
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Public Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1468186
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Public Skating,Sunday March 15,,,2:00 pm - 2:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1593246
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Basketball (Youth),Sunday March 15,,,2:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1612801
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Sunday March 15,,,2:30 pm - 4:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873536
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Public Skating,Sunday March 15,,,2:30 pm - 3:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1466946
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball,Sunday March 15,,,2:45 pm - 4:15 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419684
Bell Centennial Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/bell-centennial-arena,Public Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425798
J.A. Dulude Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/ja-dulude-arena,Family Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427146
Manotick Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/manotick-community-centre,Family Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427934
R.J. Kennedy Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/rj-kennedy-arena,Public Skating,Sunday March 15,,,3:00 pm - 4:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1468986
W. Erskine Johnston Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/w-erskine-johnston-arena,Public Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1471851
Jack Charron Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/jack-charron-arena,Family Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427387
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Public Swim,Sunday March 15,,,3:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1456036
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Public Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1479631
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Public Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1469746
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Family Skating,Sunday March 15,,,3:00 pm - 3:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1467406
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Basketball (Adult),Sunday March 15,,,3:30 pm - 4:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015606
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Family Skating,Sunday March 15,,,3:30 pm - 4:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1474986
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Family Skating,Sunday March 15,,,3:30 pm - 4:20 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1467246
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Basketball,Sunday March 15,,,3:45 pm - 4:45 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1985696
