Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Indoor Cycling,Tuesday February 18,,,6:00 am - 7:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1887661
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Hot Tub/Sauna,Tuesday February 18,,,6:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1912476
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Lane Swim,Tuesday February 18,,,6:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1913131
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Tuesday February 18,,,6:00 am - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1927611
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Tuesday February 18,,,6:00 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1867071
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Lane Swim,Tuesday February 18,,,6:00 am - 7:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028471
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Tuesday February 18,,,6:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2025571
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Indoor Cycling,Tuesday February 18,,,6:30 am - 7:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407807
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Hot Tub/Sauna,Tuesday February 18,,,6:45 am - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1934501
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday February 18,,,7:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2002601
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Tuesday February 18,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873896
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- Turbo,Tuesday February 18,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1633191
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Lane Swim,Tuesday February 18,,,7:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1865776
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Lane Swim,Tuesday February 18,,,7:30 am - 8:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1989606
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Hot tub/Steam room,Tuesday February 18,,,7:30 am - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1992026
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Pick-up Hockey - Adults 18+,Tuesday February 18,,,7:30 am - 8:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1476886
Jim Durrell Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/jim-durrell-recreation-centre,Pick-up Hockey - Adults 18+,Tuesday February 18,,,7:30 am - 8:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1476886
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Tuesday February 18,,,7:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870531
